DEPARTURES_PERFORMED,PASSENGERS,DISTANCE,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,DEST_AIRPORT_ID,DEST,AIRCRAFT_TYPE,MONTH
7,0,3156,FX,Federal Express Corporation,FX,Federal Express Corporation,15567,VCP,10732,BQN,626,2
7,0,5127,FX,Federal Express Corporation,FX,Federal Express Corporation,13744,NRT,13796,OAK,683,2
7,1014,5271,BA,British Airways Plc,BA,British Airways Plc,14107,PHX,12972,LHR,627,2
7,857,4750,BA,British Airways Plc,BA,British Airways Plc,11298,DFW,12972,LHR,837,2
7,337,446,WS,Westjet,WS,Westjet,10721,BOS,16271,YYZ,482,2
7,278,446,WS,Westjet,WS,Westjet,16271,YYZ,10721,BOS,482,2
7,590,1206,WS,Westjet,WS,Westjet,12892,LAX,16257,YYC,612,2
7,701,1206,WS,Westjet,WS,Westjet,16257,YYC,12892,LAX,612,2
7,820,1353,WS,Westjet,WS,Westjet,14262,PSP,16042,YEG,614,2
7,996,1353,WS,Westjet,WS,Westjet,16042,YEG,14262,PSP,614,2
7,718,1279,WS,Westjet,WS,Westjet,16257,YYC,14679,SAN,614,2
7,705,1279,WS,Westjet,WS,Westjet,14679,SAN,16257,YYC,614,2
7,987,1225,WS,Westjet,WS,Westjet,16257,YYC,14107,PHX,838,2
7,1023,1225,WS,Westjet,WS,Westjet,14107,PHX,16257,YYC,838,2
7,1127,1708,Y4,Concesionaria Vuela Compania De Aviacion SA de CV (Volaris),Y4,Concesionaria Vuela Compania De Aviacion SA de CV (Volaris),10638,BJX,14893,SMF,722,3
7,1053,1707,Y4,Concesionaria Vuela Compania De Aviacion SA de CV (Volaris),Y4,Concesionaria Vuela Compania De Aviacion SA de CV (Volaris),13370,MLM,13930,ORD,722,3
7,936,1708,Y4,Concesionaria Vuela Compania De Aviacion SA de CV (Volaris),Y4,Concesionaria Vuela Compania De Aviacion SA de CV (Volaris),14893,SMF,10638,BJX,722,3
7,1396,5302,PR,Philippine Airlines Inc.,PR,Philippine Airlines Inc.,12173,HNL,13408,MNL,696,2
7,1016,5302,PR,Philippine Airlines Inc.,PR,Philippine Airlines Inc.,13408,MNL,12173,HNL,696,2
7,619,1783,BW,Caribbean Airlines Limited,BW,Caribbean Airlines Limited,13204,MCO,14210,POS,614,3
7,721,1783,BW,Caribbean Airlines Limited,BW,Caribbean Airlines Limited,14210,POS,13204,MCO,614,3
7,1661,8513,PR,Philippine Airlines Inc.,PR,Philippine Airlines Inc.,12478,JFK,13408,MNL,359,3
7,1724,2449,PR,Philippine Airlines Inc.,PR,Philippine Airlines Inc.,12478,JFK,16229,YVR,359,3
7,1513,7344,PR,Philippine Airlines Inc.,PR,Philippine Airlines Inc.,12892,LAX,10929,CEB,627,3
7,0,5578,SQ,Singapore Airlines Ltd.,SQ,Singapore Airlines Ltd.,12892,LAX,10292,AMS,820,3
7,844,1693,B6,JetBlue Airways,B6,JetBlue Airways,13180,MBJ,10721,BOS,694,3
7,716,1693,B6,JetBlue Airways,B6,JetBlue Airways,10721,BOS,13180,MBJ,694,3
7,0,682,6R,Aerounion Aerotransporte de Carga Union SA de CV,6R,Aerounion Aerotransporte de Carga Union SA de CV,13306,MID,13303,MIA,691,3
7,0,1388,6R,Aerounion Aerotransporte de Carga Union SA de CV,6R,Aerounion Aerotransporte de Carga Union SA de CV,13218,MDE,13303,MIA,625,3
7,0,1388,6R,Aerounion Aerotransporte de Carga Union SA de CV,6R,Aerounion Aerotransporte de Carga Union SA de CV,13303,MIA,13218,MDE,691,3
7,790,1706,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,13232,MDW,13180,MBJ,612,3
7,0,6537,PO,Polar Air Cargo Airways,PO,Polar Air Cargo Airways,11193,CVG,13744,NRT,819,3
7,314,1538,KX,Cayman Airways Limited,KX,Cayman Airways Limited,12478,JFK,11868,GCM,614,2
7,291,1538,KX,Cayman Airways Limited,KX,Cayman Airways Limited,11868,GCM,12478,JFK,614,2
7,569,1031,07Q,Flair Airlines Ltd.,07Q,Flair Airlines Ltd.,16271,YYZ,14761,SFB,838,3
7,1656,6964,MF,"Xiamen Airlines Co., Ltd.",MF,"Xiamen Airlines Co., Ltd.",12892,LAX,15917,XMN,889,4
7,1168,1557,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,14312,PVR,10397,ATL,888,4
7,1017,1720,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,14286,PTY,10397,ATL,888,4
7,1111,1005,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,11868,GCM,10397,ATL,888,4
7,1082,1557,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,10397,ATL,14312,PVR,888,4
7,1066,1005,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,10397,ATL,11868,GCM,888,4
7,636,3437,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,14818,SID,12478,JFK,626,4
7,906,4797,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,10397,ATL,13518,MUC,626,4
7,1297,3452,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,12972,LHR,12478,JFK,687,4
7,0,1017,6R,Aerounion Aerotransporte de Carga Union SA de CV,6R,Aerounion Aerotransporte de Carga Union SA de CV,13303,MIA,12010,GUA,691,4
7,0,1117,6R,Aerounion Aerotransporte de Carga Union SA de CV,6R,Aerounion Aerotransporte de Carga Union SA de CV,13303,MIA,14838,SJO,691,4
7,191,194,3M,Silver Airways,3M,Silver Airways,10444,AXA,14843,SJU,456,3
7,74,194,3M,Silver Airways,3M,Silver Airways,14843,SJU,10444,AXA,456,3
7,198,182,3M,Silver Airways,3M,Silver Airways,11697,FLL,13605,NAS,441,3
7,153,182,3M,Silver Airways,3M,Silver Airways,13605,NAS,11697,FLL,441,3
7,311,343,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",15304,TPA,12073,HAV,617,4
7,0,848,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13303,MIA,14739,SDQ,614,4
7,0,1017,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13303,MIA,12010,GUA,614,4
7,1,2608,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13303,MIA,12986,LIM,614,4
7,0,848,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14739,SDQ,13303,MIA,614,4
7,0,4260,ABX,ABX Air Inc,ABX,ABX Air Inc,10970,CGN,13930,ORD,626,4
7,0,1288,FX,Federal Express Corporation,FX,Federal Express Corporation,13244,MEM,11874,GDL,626,4
7,0,4623,FX,Federal Express Corporation,FX,Federal Express Corporation,13244,MEM,12957,LGG,683,4
7,1661,4424,UX,Air Europa,UX,Air Europa,13303,MIA,13156,MAD,887,4
7,1875,4424,UX,Air Europa,UX,Air Europa,13156,MAD,13303,MIA,887,4
7,0,4462,WI,Sky Lease Cargo,WI,Sky Lease Cargo,13532,MVD,13303,MIA,820,4
7,2525,7231,CZ,China Southern Airlines,CZ,China Southern Airlines,12892,LAX,10877,CAN,882,4
7,2734,7231,CZ,China Southern Airlines,CZ,China Southern Airlines,10877,CAN,12892,LAX,882,4
